question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
The current bar clasp design used is:,"['Mesio-occlusal rest', 'Disto-occlusal rest', 'Mesial or distal depending on the situation', 'Choice of the dentist']",A,A,1,The current bar buckle design practice is:,A,1,ThM current bra clasp design used is:,A,1,The current bar clasp design update is:,A,1,30
A term gestation newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,"['History of receiving antenatal corticosteroids', 'Air bronchogram on chest x–ray', 'Onset of distress after 6 hours of birth', 'Term birth']",B,B,1,A term gestation newborn rise respiratory hurt. Which of the be would favour respiratory straiten syndrome (HIVID) ?,B,1,A ter egstation newborn debveloped respiratory distress. Which of the following would favoir Respwratory distress syndrome (HIVID) ?,B,1,A term gestation newborn developed respiratory distress. Which of the following would favour Respiratory syndrome (HIVID) ?,B,1,30
Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,"['ab', 'cd', 'bd', 'ac']",B,B,1,Which of the following trouble of engender leash to microcephaly in baby –a)  SLEb)  Hepatitis ampere hundred) Phenylketonuriad)  Rubella,B,1,WhicR of the following disorder of moter lCads to lmicrocephaly in baby –a)  SVLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,B,1,Which of the following disorder of mother leads to microcephaly in childhood –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,B,1,30
A young patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,"['Grey', 'Green', 'Blue', 'Pink']",B,B,1,a Young patient has been take with A and had massive hemorrhage. helium necessarily to be transfused with boastfully amounts of fluids. Which quadruplet cannula is preferent?,A,0,A yoHng patienSt has been admittxed with A and had masive hemorrhage. He needs to be transfused with lagre aomunts of fluids. Which I cannula is przeferred?,B,1,A young respiratory patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,B,1,30
Centrineuraxial (spinaland epidural) anaesthesia is not contraindicated in,"['Platelets <80,000', 'Patient on aspirin', 'Patient on oral anticoagulants', 'Raised intracranial pressure']",B,B,1,Centrineuraxial (spinaland epidural) anesthesia is not contraindicate in,B,1,CentrineuraxRial (spinaland epidural) anaesthxsia is not contraindicated in,B,1,Centrineuraxial (spinaland epidural) anaesthesia is not suspected in,D,0,30
In a patient of heart disease antibiotic prophylaxis for dental extraction is:,"['Amoxicillin.', 'Imipenem.', 'Gentamicin.', 'Erythromycin.']",A,A,1,in a patient of pump disease antibiotic prophylaxis for alveolar extraction is:,A,1,In a patient of heart zisease antibioctic prophylaxis for dental extracion is:,A,1,In a patient of heart disease antibiotic necessary for dental extraction is:,A,1,30
Urine analysis of a patient with hematuria and hypercalciuria is most likely to reveal;,"['Isomorphic RBCs', 'RBC casts', 'Nephrotic range proteinuria', 'Eosinophiluria']",A,B,0,urine analysis of a patient with haematuria and hypercalciuria is most belike to discover;,B,0,Urine analysis of a patient with hmeaturia and hypeJrcalciuria is most lkiely to rveal;,B,0,Urine analysis of a patient with hematuria and hypercalciuria is most likely interpreted to reveal;,B,0,30
Which Hodgkin’s disease is associated with best prognosis?,"['Lymphocytic predominance', 'Lymphocyte depletion', 'Mixed cellularity', 'Nodular sclerosis']",A,A,1,Which Hodgkin’s disease is assort with advantageously prognosis?,A,1,Which Hodgkdin’s diease is associated with best prognosis?,A,1,Which Hodgkin’s Syndrome is associated with best prognosis?,A,1,30
"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?","['No vaccine', '2 doses of vaccine on day 0 and 3', 'Full 5 doses of vaccines', 'Rabies Ig and full vaccination']",B,B,1,"fry has received broad lyssa vaccination in December 2018 and now represent with transude hurt on peachy toe and the deary had vaccination also, what would you do now?",D,0,"Child has receiXed ful rabeis vaccination in Decembehr 2018 and now prtsented with oozing wound on great toe and the pAet had vacicnation also, what owuld you do now?",D,0,"Child has received full rabies tests in December 2018 and now presented with oozing wound on great toe and the pet had vaccination covered, what would you do now?",B,1,30
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,"['AFP', 'ss-hCG', 'Estradiol', 'Inhibin']",C,D,0,Which of the adopt markers is not utilise in quadruplicate exam for antenatal detection of downward syndrome?,D,0,Which of the following marers is not useqd in quadruple test for antenIatal detectino of Down syndmrome?,D,0,Which of the following markers is purposely not used in quadruple test for antenatal detection of Down syndrome?,D,0,30
Which of the following is inclusion of cytoplasm?,"['Endoplasmic reticulum', 'Ribosome', 'Golgi body', 'Glycogen']",D,D,1,Which of the followers is inclusion of cytol?,B,0,Which of the ofllowing is inclusin of cytoplasm?,A,0,Which of the following methods is inclusion of cytoplasm?,D,1,30
Which of the following is not a risk factor for malignancy,"['DNA aneuploidy', 'Male gender', 'Invasive candidiasis', 'Leukoplakia in non smokers']",B,C,0,Which of the come is not a hazard factor for malignance,B,1,Whinch of the followjng is not a risM factor for malignancy,B,1,Which of the studies following is not a risk factor for malignancy,B,1,30
A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,"['Diabetes insipidus', 'Acute necrosis', 'Severe dehydration', 'Excessive intake of sodium']",D,D,1,A chest Federal child presents with hypernatremia (Serum sodium > 170m Eq/liter). His urine sodium is 70 meq/l. Which of the pursuit is the most potential causa –,D,1,A breast fed child preesnts with hypernatremia (Serum sodVum > 170m qE/L). Hid urine sodiu is 70 mE/L. Whih of the follokwing is the most likely cause –,D,1,A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which item of the following is the most likely cause –,D,1,30
Fill the missing data in the common risk factor approach diagram.,"['Diet and smoking', 'Smoking and disease', 'Smoking and prevention', 'Prevention and diet']",A,A,1,Fill the lacking data in the mutual risk broker approach diagram.,B,0,Fill the missing dPata in the common risk factfor apprMoach diagram.,A,1,Fill the missing answers in the common risk factor approach diagram.,A,1,30
Brachycephaly is due to fusion of –,"['Parietal suture', 'Sagittal suture', 'Lambdoid suture', 'Coronal suture']",D,D,1,Brachycephaly is due to unification of –,B,0,Brachycephaly is deu to fusion of –,D,1,Brachycephaly my is due to fusion of –,D,1,30
"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in","['TMJ', 'Parotid', 'Submandibular gland', 'Cheek']",B,A,0,"Tendon of Gracilis, Sartorius and semitendenous brawn infix on tibia to bod Pesanserinus. Similar construction is reckon in",A,0,"Tendn of Gracilis, SartoriuR and semkitendenous muscles insert on tibia to form Pesanserinus. Simifar Sstructure is seen in",A,0,"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. This Similar structure is seen in",A,0,30
Suprasellar cystic mass in children is –,"['Medulloblastoma', 'Craniopharyngioma', 'Meningioma', 'Secondaries']",B,B,1,Suprasellar cystic volume in children is –,B,1,Supraselalr cystic mass in children is –,B,1,Suprasellar Sexual mass in children is –,B,1,30
The drug which gives orange colour to the urine is:,"['Rifampicin', 'Ethambutol', 'INH', 'Streptomycin']",A,A,1,The drug which feed orange emblazon to the water is:,A,1,The drOug which givs orange coloNur to the urine is:,A,1,The colour which gives orange colour to the urine is:,A,1,30
Highest level of evidence is seen in:,"['Case control studies', 'Meta-analysis', 'Cohort studies', 'Systematic review']",B,B,1,high level of evidence is experience in:,B,1,Highest lRevel of evidene is seen in:,B,1,Highest level radiation is seen in:,A,0,30
Most common route for metastasis of oral cancer is by:,"['Direct extension', 'Lymphatics', 'Blood vessels', 'Aspiration of tumor cells']",B,B,1,nearly plebeian route for metastasis of viva cancer is by:,A,0,Most comomn route for metastasis of otral cancr is by:,B,1,Most common route for achieving metastasis of oral cancer is by:,B,1,30
Excision of the submandibular gland for calculus or tumours is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,"['Ansa cervicalis', 'Mandibular branch of facial nerve', 'Posterior auricular nerve', 'Submandibular ganglion']",B,B,1,Excision of the submandibular secretor for calculus or tumours is serve by scratch below angle of the trounce. Special tending should be remove to quash which mettle?,B,1,ExcisHion of the submandibular glnad for calculus or tumouos is doe by incisoin below angle of the jaw. Secial care should be taken to Xavoid which nrve?,B,1,Excision of the submandibular gland removed for calculus or tumours is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,B,1,30
A 8-years-old patient comes to you with malocclusion what will be your line of treatment:,"['Wait and watch till canine erupts', 'Extraction a and orthodontic treatment', 'Serial extraction', 'Immediate intervention with removal appliance']",A,A,1,amp 8-years-old patient descend to you with malocclusion what will be your occupation of handling:,A,1,A 8-years-old patient ocmes to you with maloccWlusion what will be your ine of rteatment:,A,1,A 8-years-old patient comes to you with malocclusion what will be your future of treatment:,A,1,30
Occluded submandibular salivary duct can be best observed by,"['Palpation', 'Sialography', 'Occlusal X-ray', 'Thermography']",B,B,1,Occluded submandibular salivary duct can be substantially celebrate by,B,1,Occluded submandibular salivary Ruct can be best bserved by,B,1,Occluded submandibular salivary artery duct can be best observed by,B,1,30
In pregnancy cardiac output increases 30 to 40% during?,"['20th week of pregnancy', '22 weeks of pregnancy', '24 weeks of pregnancy', '28 weeks of gestation']",D,D,1,In pregnancy cardiac output increase 30 to forty% during?,D,1,IMn pregnancy cardiac output increses 30 to 40% during?,D,1,In pregnancy cardiac cancer increases 30 to 40% during?,D,1,30
What is the angle subtended by the largest letter in the Snellen cha on a person's eye who is reading it from a distance of 6 meters?,"['1 minute', '10 minutes', '50 minutes', '60 minutes']",C,A,0,What is the slant subtended by the large missive in the Snellen cha on a person's eyeball who is Reading it from a outstrip of sestet meter?,A,0,Whta is the ange subtended by the largest letter in the Sneleln hca on a erson's eye who is readin it from a distnce of 6 meers?,A,0,What is the angle subtended by the largest letter in the Snellen cha on a reading person's eye who is reading it from a distance of 6 meters?,A,0,30
"In a skeletal Class III, the value of ANB will be:","['-10', '2', '4', '6']",A,A,1,"In a emaciated Class trey, the evaluate of ANB will be:",A,1,"In a skeleatl Clsas III, the vale of ANB will be:",B,0,"In a skeletal Class III, the value of ANB will instead be:",A,1,30
