question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
The current bar clasp design used is:,"['Mesio-occlusal rest', 'Disto-occlusal rest', 'Mesial or distal depending on the situation', 'Choice of the dentist']",A,A,1,The current bar grasp design victimized is:,A,1,The current bar lasp deign used is:,A,1,The current key clasp design used is:,C,0,30
A term gestation newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,"['History of receiving antenatal corticosteroids', 'Air bronchogram on chest x–ray', 'Onset of distress after 6 hours of birth', 'Term birth']",B,B,1,a term gestation neonate germinate respiratory distress. Which of the followers would favour Respiratory hurt syndrome (HIVID) ?,B,1,A term gestvtion newborn develbped respiratory distress. Which of the following woulZ favowur Respiravory distress syndrome (HIVID) ?,B,1,A term gestation newborn developed acute respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,B,1,30
Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,"['ab', 'cd', 'bd', 'ac']",B,B,1,Which of the watch distract of mother conduct to microcephaly in mollycoddle –a)  SLEb)  Hepatitis ampere c) Phenylketonuriad)  Rubella,B,1,Whicbh of the following disorder of mother leads to mHicrocephaly in baby –a)  SLEb)  Hepaditis A c) Phenylketonurqiad)  Rubell,B,1,Which of the following cancers of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,B,1,30
A young patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,"['Grey', 'Green', 'Blue', 'Pink']",B,B,1,A unseasoned patient has been admitted with ampere and had massive bleed. He want to be instill with magnanimous amounts of fluids. Which four cannula is preferable?,B,1,A yougn patient has been adimtted with A and had msasive hemorrage. He eneds to be transfuesd with lTrge amounts of fluids. Which VI cannula is preferred?,A,0,A young patient has been admitted with A and had massive severe hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,B,1,30
Centrineuraxial (spinaland epidural) anaesthesia is not contraindicated in,"['Platelets <80,000', 'Patient on aspirin', 'Patient on oral anticoagulants', 'Raised intracranial pressure']",B,B,1,Centrineuraxial (spinaland extradural) anesthesia is not contraindicated in,B,1,Centrineuraxial (sipnaland epidural) anaesthesa is not contraindicated in,B,1,omatic (spinaland epidural) anaesthesia is not contraindicated in,B,1,30
In a patient of heart disease antibiotic prophylaxis for dental extraction is:,"['Amoxicillin.', 'Imipenem.', 'Gentamicin.', 'Erythromycin.']",A,A,1,inwards a patient of core disease antibiotic prophylaxis for alveolar extraction is:,A,1,wIn a patOent of heart disease antiibotic prophylaxis for dental extraction is:,A,1,In a patient of heart disease recommended antibiotic prophylaxis for dental extraction is:,A,1,30
Urine analysis of a patient with hematuria and hypercalciuria is most likely to reveal;,"['Isomorphic RBCs', 'RBC casts', 'Nephrotic range proteinuria', 'Eosinophiluria']",A,A,1,piddle psychoanalysis of a patient with hematuria and hypercalciuria is most potential to discover;,B,0,Urine analysMis of a patiFent with ematuria and hypercalciuria is most lijely to reveal;,B,0,Urine analysis of a patient with hematuria and hypercalciuria is probably most likely to reveal;,A,1,30
Which Hodgkin’s disease is associated with best prognosis?,"['Lymphocytic predominance', 'Lymphocyte depletion', 'Mixed cellularity', 'Nodular sclerosis']",A,A,1,Which Hodgkin’s disease is assort with salutary prognosis?,A,1,Which Hodgkin’s diseas is assoiated with best prognosis?,A,1,Which Hodgkin’s Disease is associated with best prognosis?,A,1,30
"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?","['No vaccine', '2 doses of vaccine on day 0 and 3', 'Full 5 doses of vaccines', 'Rabies Ig and full vaccination']",B,B,1,"nestling has standard full-of-the-moon lyssa vaccination in Dec 2018 and now presented with oozing roll on majuscule toe and the pet had vaccination besides, what would you do now?",D,0,"Chiln has recieved full rabies vaccinatio in December 201M and now presented with ooziDng wond on greqt toe and the pet had avccination also, what would you do now?",B,1,"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would forward you do now?",B,1,30
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,"['AFP', 'ss-hCG', 'Estradiol', 'Inhibin']",C,D,0,Which of the succeed markers is not put-upon in quadruple essay for antenatal espial of polish syndrome?,D,0,Which of the folMowing marksrs is not used in quadrple tebt for antenatal detectieon of Down syndrome?,D,0,Which of us the following markers is not used in quadruple test for antenatal detection of Down syndrome?,D,0,30
